education_level,discipline,years_total_experience,years_skill_main,current_job_title,skills,certifications,num_promotions,avg_tenure_months,gap_months_last5y,location_city,work_authorization,gender,age_range,languages.English,languages.Spanish,languages.Hindi,languages.Armenian,languages.German,languages.Turkish,languages.Mandarin,apto
Bachelor,Industrial Engineering,26,2,Industrial Engineering Intern,"['Lean Manufacturing', 'Production Planning', 'Supply Chain Management', 'MS Office', 'Minitab', 'PowerPoint', 'Excel', 'SolidWorks', 'AutoCAD', 'Pro E', 'MS Access', 'SAP', 'Java', 'C', 'C++', 'Visual Basic', 'R', 'Python', 'Time Study', 'Process Mapping', 'JIT', 'Work Sampling', 'Data Analysis', 'Project Planning', 'CPM', 'PERT', 'Inventory Control', 'Facility Planning']",[],0,8,0,City,Yes,Male,25-30,C1,,,,,,,1
Bachelor,Information Technology,7,7,Engineering Systems Installer,"['Microsoft Applications', 'Network Security', 'Networking', 'PC hardware and software installation', 'Remote Desktop Management', 'Technical Support', 'Team Leadership', 'Programming Languages', 'VoIP', 'TCP/IP', 'LAN/WAN architecture', 'Application Development']",['Microsoft Certification'],1,78,0,City,Yes,Male,30-40,Native,,,,,,,-1
Bachelor,Engineering,5,2,Lighting Field Engineering Technician,"['AutoCAD', 'Microsoft Excel', 'Microsoft Project', 'Microsoft Visio', 'Project Management', 'Critical Thinking']",[],1,18,0,Tampa,US Citizen,Male,30-40,Native,,,,,,,-1
Bachelor,Engineering,24,19,Process Engineering Technician III,"['pharmaceutical unit operations', 'milling', 'blending', 'fluid bed granulation', 'aqueous coating', 'solvent-based coating', 'laser drilling', 'drying', 'cGMP compliance', 'technical documentation', 'process development', 'manufacturing', 'training operators', 'quality assurance', 'process improvement']","['Pharmacy Exemptee Certificate', 'Yellow Belt Process Excellence', 'Fundamentals of Pharmaceutical cGMPs', 'HAZMAT Industrial Technician Certificate', 'First Site Supervisor', 'Supervising for Safety', 'Training the Trainer', 'How to Be a Better Communicator', 'ISO 9001', 'ISO 14001', 'Excelling at Managing and Supervising', 'ERT Membership']",3,36,0,Mountain View,US Citizen,Male,40-50,Native,,,,,,,-1
Other,Engineering Technology,25,10,Engineering Technician III,"['Troubleshooting', 'Repair', 'Installation', 'Electrical Systems', 'Mechanical Systems', 'Pneumatic Systems', 'Data Acquisition', 'AC/DC Motor Systems', 'Labview Software', 'Customer Service', 'Safety Awareness']","['Lock out/Tag out', 'Arc Flash', 'Live Electrical', 'ESD certified', 'ISO-9001 standards']",2,60,0,City,US Citizen,Male,40-50,,,,,,,,-1
Bachelor,Information Technology,26,16,Support Engineering Manager,"['Windows Platforms', 'System Center', 'Setup', 'Cluster', 'Performance', 'SCOM', 'Virtualization', 'App-V', 'VMM', 'Operations Manager', 'Orchestrator', 'Service Manager', 'Azure cloud']",['Distinguished Toast Master'],3,60,0,Unknown City,US Citizen,Male,45-54,Native,,,,,,,-1
Bachelor,Engineering,20,20,Engineering Services Manager,"['Industrial Automation', 'Process Engineering', 'Mechanical Design', 'PLC Programming', 'SCADA Systems', 'Project Management', 'Advanced Troubleshooting']",[],3,36,0,City,Yes,Male,41-50,Native,,,,,,,-1
Other,Electrical Engineering,29,10,Engineering Technician V,"['VHF transceivers', 'satellite-based GPS systems', 'electromagnetic interference (EMI)', 'Differential Global Positioning System (DGPS)', 'electronic communication equipment', 'cable installation', 'electrical systems', 'computer systems', 'technical documentation', 'team leadership']",[],2,12,0,Honolulu,US Citizen,Male,50-60,Native,,,,,,,0
Bachelor,Information Technology,10,5,Software Engineering Team Lead,"['System Center Suite', 'SCOM', 'SCCM', 'SCVMM', 'Hyper V', 'Active Directory', 'DNS', 'DHCP', 'Windows Clusters', 'PowerShell', 'VBScript']",[],2,30,0,USA,Yes,Male,30-40,Native,,,,,,,-1
Bachelor,Industrial Engineering,15,10,Industrial Engineering Manager,"['Project planning and development', 'Strategic planning', 'Lean manufacturing and design', 'Analytical', 'Procedure development', 'Team leadership']",[],2,60,0,City,US Citizen,Male,35-44,Native,,,,,,,-1
Other,Engineering,20,10,Equipment Engineering Technician,"['Material Management', 'Mechanical Test Equipment', 'Troubleshooting', 'Electrical Systems', 'Factory Automation', 'Robotic Systems', 'Customer Service', 'Forklift Operation', 'Crane Operation', 'NDT Level II', 'Mechanical Theory', 'Pneumatic Theory', 'Hydraulic Theory']","['Forklift Certified', 'Crane Certified', 'NDT Level II']",2,12,0,City,US Citizen,Male,40-50,Native,,,,,,,-1
Bachelor,Chemical Engineering,6,2,Chemical Engineering Intern,"['Project management', 'Scheduling tools', 'ChemCad', 'OAM', 'MES', 'EPI', 'Structural red-line revisions', 'Process piping', 'Microsoft Office', 'Quality control', 'Process improvement', 'Data analysis', 'Safety procedures', 'Troubleshooting', 'Research engineering', 'Validation tests']",[],0,12,0,Columbus,USA,,20-30,,B1,,,C1,,,-1
Bachelor,Information Technology,8,4,Corporate Engineering Support Technician,"['Technical Support', 'Telecom Support', 'Networking Support', 'Software Troubleshooting', 'Windows Installation', 'Linux Installation', 'OS X Installation', 'SoHo Networks Configuration', 'Documentation Creation', 'Mobile Device Support', 'VOIP Support', 'Network Protocols', 'Security Implementation']",[],1,36,0,Remote,Authorized,Male,30-40,Native,,,,,,,-1
Bachelor,Mechanical Engineering,5,3,Mechanical Engineering Intern,"['SolidWorks', 'AutoCAD', 'Fluid Mechanics', 'Thermal Analysis', 'Project management', 'Material Science', 'Statistics', 'Time management', 'Written communication', 'Verbal communication']",['Engineer-In-Training (EIT)'],0,12,0,San Diego,Yes,Male,20-30,C1,,,,,,,-1
Bachelor,Mechanical Engineering,35,15,Engineering Manager/Quality Manager,"['Project Management', 'Quality Management System Implementation', 'Production Management', 'Engineering Management', 'Process Development', 'Cost Reduction', 'Process Improvement', 'Statistical Process Control']",[],3,180,0,DeLand,US Citizen,Male,50-60,Native,,,,,,,-1
Bachelor,Engineering,10,5,Sr. Project Manager,"['Project Management', 'Agile Methodology', 'Microsoft AX', 'Data Automation', 'Client Relationship Management']",[],2,24,0,City,Yes,Male,30-40,Native,,,,,,,-1
Bachelor,Accounting,25,10,Project Accountant,"['Financial statement analysis', 'Compliance testing', 'Budget forecasting', 'Account reconciliation', 'Adobe software proficiency', 'Complex problem solving', 'Organizational skills', 'Customer relations', 'General ledger accounting', 'Advanced computer proficiency']",[],3,36,0,City,US Citizen,Female,35-44,Native,,,,,,,-1
Bachelor,Software Engineering,20,10,Software Engineering Manager,"['Visual C++', 'Windows', 'OOP', 'STL', 'WinAPI', 'MFC', 'threads', 'ATL', 'IPC', 'FTP', 'TCP', 'HTTP', 'XML', 'JSON', 'REST API', 'SOA', 'media formats', 'codec SDK', 'MPEG-DASH', 'API design', 'documentation', 'Scrum', 'Mercurial', 'Jenkins']",[],2,60,0,Burbank,US Citizen,Male,40-50,C1,,,,,,,-1
Bachelor,Biomedical Engineering,12,12,Clinical Engineering Manager,"['medical equipment management', 'regulatory compliance', 'risk management', 'project management', 'team building', 'leadership', 'customer service', 'interpersonal relations', 'negotiation', 'written communication', 'verbal communication', 'preventive maintenance', 'electrical safety procedures', 'DICOM protocol', 'LAN/WLAN management']",[],3,36,0,Charleston,US Citizen,Male,40-50,Native,,,,,,,-1
Bachelor,Engineering,30,10,Corporate Process/Systems Engineering Manager,"['Lean Manufacturing', 'Six Sigma', 'RCM', 'FMEA', 'DMAIC', 'PFD', 'Microsoft Office', 'Microsoft Visio', 'Business Objects', 'SAP', 'Visual Studio', 'SQL Server', 'HTML', 'CSS', 'Java', 'JavaScript', 'C++', 'VB.NET', 'ASP.NET', 'PowerSteering']",['Six Sigma Certified'],2,30,0,City,US Citizen,Male,50-60,Native,,,,,,,1
Master,Materials and Metallurgical Engineering,3,3,Mineralogy Engineering Intern,"['Metallurgical', 'Metallurgical Engineering', 'Fundraising', 'Mec', 'Exploration', 'Metallurgy', 'Laboratory', 'Operations', 'Maintenance', 'Xrf', 'Coatings', 'Corrosion', 'Materials Engineering', 'Pipeline']",[],0,4,0,City,USA,,25-30,,,,,,,,-1
Bachelor,Mechanical Engineering,12,12,Engineering Manager/Senior Mechanical Designer,"['Global Operations Management', 'Personnel Management', 'AutoCAD', 'Budgeting', 'Planning', 'Forecasting', 'Training & Staff Development', 'Six Sigma', 'Vendor Kanban Contracts', 'Lean Manufacturing', 'AutoCAD Inventor', 'Product Cost Reduction', 'Team Leadership', 'New Product Development', 'Organization/Time Management', 'ANSI Drawing Standards', 'Inventory Control', 'Total Quality Management', 'Mechanical Design', 'Project Management', 'Customer Service', 'MS Office Suite', 'ROI Analysis', 'Safety/Security', 'Virtual Gibbs']",[],2,48,0,City,Yes,Male,35-44,Native,,,,,,,-1
Bachelor,Mechanical Engineering,10,10,Director of Engineering,"['Project Management', 'Product Design', 'Product Development', 'Welding', 'Fabrication', 'Material Handling', 'Quality Audits', 'Instrumentation and Control', 'Budget Management', 'Continuous Process Improvement']",['Qualified and Certified Lead Auditor'],2,48,0,City,Yes,Male,35-44,Native,,,,,,,-1
Associate,Software Engineering,17,12,Engineering Team Lead,"['ASP', 'C#', 'VB.NET', 'SOAP', 'REST', 'JQuery', 'Bootstrap', 'CSS', 'HTML5', 'MSSQL', 'MYSQL', 'DTS', 'SSIS', 'SSRS', 'IIS 5', 'IIS 6', 'Agile', 'Scrum', 'Kanban', 'Objective C', 'PHP', 'Perl']",[],2,36,0,Milwaukee,US Citizen,Male,30-40,C1,,,,,,,-1
Bachelor,Engineering,12,10,Director of Engineering,"['Product Development', 'Agile Methodologies', 'Team Leadership', 'Software Development', 'Cloud Computing', 'UI/UX Design', 'Project Management', 'Database Administration']",[],5,24,0,Atlanta,US Citizen,Male,35-44,Native,,,,,,,1
Bachelor,Mechanical Engineering,4,2,Maintenance Engineering Co-Op,"['Computerized Maintenance Management System (CMMS)', 'Maximo', 'Preventive Maintenance (PM)', 'Predictive Maintenance (PD)', 'Process Failure Mode and Effects Analysis (PFMEA)', 'Spindle Vibration Analysis', '5S Methodology', 'AutoCAD', 'ORACLE', 'Lean Manufacturing', 'SolidWorks', 'ANSYS']",[],0,10,0,City,Yes,Male,20-30,Native,,,,,,,0
High School,Clerical Support,4,1,Engineering Office Clerk,"['Clerical Support', 'Recordkeeping', 'GIS Data Entry', 'Document Scanning', 'Customer Service']",[],0,12,0,City,Yes,Female,25-34,,,,,,,,0
Bachelor,Engineering,15,15,Engineering Project Manager III,"['Project Management', 'Quality Control', 'Maintenance Management', 'Logistics', 'Electronic & Mechanical Technology', 'Quality Assurance/Control', 'Safety Compliance', 'Risk Management', 'Change Control Processes', 'Lean/six sigma principles', 'Mechanical Component Troubleshooting', 'Material Management', 'Staff Development/Leadership', 'Technical Interface', 'Microsoft Office', 'Microsoft Project', 'Microsoft Access', 'SAP', 'SharePoint']",[],2,36,0,City,Yes,Male,35-44,C1,,,,,,,-1
Bachelor,Electronics and Communication Engineering Technology,13,6,Engineering Lab Technician,"['Construct, test and troubleshoot AC/DC circuits', 'Determine voltage, current, resistance and power by calculations and measurements', 'Identify electronic components and schematic symbols', 'Utilize oscilloscopes to measure AC frequency', 'Soldering', 'Troubleshoot faulty capacitors, inductors and transformers', 'Use of hand tools for repairing and installing electronics', 'Create circuits with Multisim CAD software', 'Assemble/disassemble PCs and electronics', 'Familiar with C+, C++, Java script, SQL, Visual Studio', 'Understand Programmable Logic controllers', 'Digital communications with fiber optics', 'Understand different types of transmission lines', 'Proficient with Microsoft Office Suite']",[],2,24,0,City,Yes,Male,30-40,Native,,,,,,,1
Master,Mechanical Engineering,5,5,Mechanical Engineering Intern,"['CAD', 'CAM', 'Finite Element Analysis', 'Mechanical Design', 'Product Design and Development', 'SolidWorks', 'Autodesk Inventor', 'AutoCAD', 'CATIA', 'PTC CREO', 'HyperMesh', 'Abaqus', 'ANSYS', 'Optistruct', 'Linear & Non-linear Static Analysis', 'Dynamic Analysis', 'GD&T', 'Tolerance Analysis', 'Design Optimization', 'Sheet Metal Design', 'DFMEA', '3D Printing']",['Autodesk Certified'],0,6,0,Chicago,Yes,Male,25-30,C1,,B2,,,,,-1
Associate,Engineering,20,7,Engineering Lab Technician,"['DasyLab', 'Labview', 'Mechanical', 'Electrical', 'Lean/5S', 'Hydraulic Testing', 'Test Stand Fabrication']",[],2,48,0,City,US Citizen,Male,35-44,,,,,,,,0
Bachelor,Engineering,20,10,Senior Manufacturing Engineer,"['Web Handling', 'Printing', 'Extrusion', 'MS Office', 'Die Design', 'IPRIME', 'Coatings', 'Microstructures', 'CNC', 'Polymer Processing', 'Servo Controls', 'Calibrations', '6 Sigma', 'ASQ stats', 'Advance Regressions', 'AutoCad Inventor', 'DSC and Melt Indexing', 'Instron testing methods', 'Corona Treating', 'Pumps sizing']",[],3,48,0,Bedford,Yes,Male,35-44,C1,,,,,,,-1
Master,Mathematical Engineering,8,3,Senior Engineering Manager,"['people management', 'leadership', 'documentation', 'multi-tasking', 'innovation', 'creativity', 'SQL programming', 'data analysis', 'statistical analysis', 'presentation design']",[],1,12,0,San Francisco,Yes,Female,30-40,C1,,,,,Native,,1
Bachelor,Software Engineering,17,13,Engineering Operations Director,"['Java', 'Amazon AWS', 'Hibernate', 'PHP', 'EC2', 'Elastic Search', 'C++', 'JSMVC', 'JUnit', 'C', 'HTML', 'Selenium', 'CanJS', 'CSS', 'Aurora', 'PL/SQL', 'Bootstrap', 'Jenkins', 'Oracle', 'Python', 'Phabricator', 'My/SQL', 'AJAX', 'GitHub', 'JavaScript', 'Camel', 'Jira', 'REST and SOAP services', 'MongoDB', 'Perl']",[],3,24,0,City,US,Male,35-44,Native,,,,,,,1
Bachelor,Engineering,13,10,Systems Engineering Manager,"['MS Project', 'Agile Software Development', 'Jira', 'Handsoft', 'ePDM', 'Data Analysis', 'Customer Management Systems', 'Hardware-Software Integration', 'Rational Requisite Pro', 'ClearQuest', 'Visio', 'DOORS', 'LEAN/Six Sigma', 'Safety Engineering', 'Requirements Engineering Creation', 'System Architecture Design', 'Creo', 'Solidworks', 'ANSYS 14', 'DFMA', 'DFA/DFM', 'AutoCAD', 'Zemax', 'Unigraphics', 'I-deas', 'Intralink', 'Windchill', 'Engineering Drawings', 'GD&T', 'Tolerances', 'Bill of Materials', 'Cage Codes', 'ASME Standards', 'Weld and Material Callouts', 'C++', 'JAVA', 'MathCAD', 'Matlab', 'Simulink', 'Microsoft Visual Studio']",[],2,78,0,City,US Citizen,Male,35-44,Native,,,,,,,1
Bachelor,Mechanical Engineering,25,10,Mechanical Engineering Intern,"['SolidWorks', 'Auto-Cad', 'Failure analysis', 'Project management', 'Time management', 'Root cause analysis', 'Predictive maintenance', 'Cross-disciplinary collaboration', 'Strategic prioritization', 'Troubleshooting mechanical/electrical systems']",[],3,12,0,State,Yes,Male,45-54,Native,,,,,,,-1
Bachelor,Computer Science,8,8,QA Engineering Team Lead,"['Quality Assurance', 'Automated Testing', 'Manual Testing', 'Black Box Testing', 'Regression Testing', 'Functional Testing', 'Stress Testing', 'Compatibility Testing', 'Integration Testing', 'Bug Reporting', 'Error Handling', 'Test Plan Development']",[],1,6,0,City,Yes,Male,30-40,C1,,,,,,,-1
Bachelor,Industrial Engineering,7,3,Industrial Engineering Intern,"['C#', 'ASP.NET', 'Visual Basic', 'Ms Visual Studio', 'Ms Office Suite', 'Simulations using Witness13', 'SIMIO', 'ERP-SAP', 'SAS-STAT', 'AutoCAD']",[],1,24,0,Salt Lake City,Yes,Male,25-34,C1,,,,,,,-1
Bachelor,Engineering,14,8,"Manager, Quality Engineering","['ProEngineer/CREO', 'MiniTab', 'MS Office Suite', 'MS Project', 'MS Visio', 'Injection Molding', 'Trackwise', 'Catsweb']",[],3,36,0,City,Yes,Male,35-44,C1,,,,,,,-1
Bachelor,Mechanical Engineering,3,2,Mechanical Design Engineering Intern,"['AutoCAD Mechanical', 'Pro/Engineer (Pro/E)', 'MATLAB', 'PTC Creo', 'Revit', 'Autodesk Inventor', 'GD&T', 'Solidworks', 'Microstation', 'ANSYS Mechanical', 'Microsoft Office']",[],0,6,0,City,Yes,Male,20-30,C1,,,,,,,0
PhD,Mechanical Engineering,10,5,Process Engineering Intern,"['plasma etching', 'photolithography', 'wet etch processing', 'PVD', 'Statistical Process Control (SPC)', 'Design of Experiments (DOE)', 'MEMS fabrication', 'CAD layout design']",[],0,6,0,Seattle,Yes,Male,30-35,C1,,,,,,B2,-1
Bachelor,Engineering Technology,16,16,Engineering Technician/ Field Service,"['Operational analysis', 'Time management', 'Geometric dimensioning', 'Manufacturing process controls', 'Analog and digital circuitry', 'Technical plan execution', 'Rigging', 'Soldering', 'Drilling', 'Tapping', 'Measurement and layout', 'Test and measurement equipment', 'Equipment calibration']",[],2,60,0,City,Yes,Male,40-50,Native,,,,,,,-1
